country,year,positive,examined,long,lat,utm_x,utm_y
Mali,1985,0,60,-8.209,11.355,586.309377023147,1255.3497175758264
Mali,1985,0,15,-8.198,11.422,587.4892263499833,1262.7620903838933
Mali,1985,1,38,-8.296,11.47,576.7850459717282,1268.0421759516798
Mali,1995,76,80,-5.707,13.868,855.9903437923549,1535.5818147364637
Mali,1995,78,88,-5.781,13.805,848.0768152056087,1528.495419412454
Mali,1995,81,81,-5.965,14.321,827.4272710334607,1585.3743145454152
Mali,1995,90,96,-6.497,14.224,770.1131063560717,1573.9502137074348
Mali,2004,0,69,-2.9944999,17.0541,1140.0384435746166,1895.4031035869784
Mali,2004,0,65,-8.024,14.923,604.9691760391623,1650.0397317173938
Mali,2004,0,71,0.073,17.361,1467.238921480838,1942.4807627094472
Mali,2004,0,70,0.0025,16.1696,1465.7580914477878,1808.9509675172446
Mali,2004,0,70,-3.3778,16.378201,1101.200627138238,1819.1072577715588
Mali,2004,0,70,-10.8219,13.8079,303.05966038457984,1527.2286599939935
Mali,2004,5,78,-7.985,12.625,610.236145190991,1395.8799086960526
Mali,2004,65,73,-7.772,12.609,633.3806769001428,1394.2092057196157
Mali,2004,0,69,-9.552,13.356,440.2260062702174,1476.571479960809
Mali,2004,0,70,-1.404,17.036,1310.3690599725212,1899.3417485454092
Mali,2004,7,70,-9.2608004,13.3824,471.7622884416324,1479.4393996052202
Mali,2004,0,68,-7.933,12.467,615.9549899627657,1378.4275528898415
Mali,2004,0,71,-7.7367001,13.7365,636.588633738448,1518.9424350890506
Mali,2004,0,66,-6.0317998,10.8811,824.5225982607401,1204.4205110724406
Mali,2004,5,65,-7.966,12.673,612.2788993521393,1401.1967597682278
Mali,2004,0,71,0.32609999,15.8175,1502.5131924676518,1771.1309893406763
Mali,2004,1,62,-11.1766,13.0634,263.9752722375642,1445.160587894912
Mali,2004,0,69,-0.26480001,16.8368,1433.6365528368412,1882.2309091481118
Mali,2004,2,70,-9.865,12.874,406.1478936483492,1423.359780326601
Mali,2004,2,61,-2.22,15.076,1230.1268323328043,1678.006338814188
Mali,2004,0,70,-0.889,17.004101,1365.7571294752356,1898.015802794952
Mali,2004,0,61,-8.23,12.69,583.6045597060515,1402.9778105393725
Mali,2004,0,70,-7.673,13.47,643.637608596662,1489.499709111885
Mali,2004,0,69,-7.8002,12.3119,630.4657807406672,1361.334623073708
Mali,2004,0,61,-5.6775999,11.3177,862.7464682228176,1253.1737604228342
Mali,2004,0,69,-8.4252996,15.079,561.7627445223324,1667.1443587581368
Mali,2004,1,70,-9.5510998,13.2669,440.3016650883631,1466.717381005052
Mali,2004,0,32,-11.6461,15.1383,215.62025120349892,1675.338478939441
Mali,2004,6,74,-7.989,12.638,609.796127377199,1397.3160142299048
Mali,2004,0,69,-12.016,14.291,174.5809495256536,1582.025491937865
Mali,2004,0,66,-7.2690001,14.316,686.6988671559894,1583.372310285631
Mali,2004,2,66,-8.004,12.652,608.1610613751177,1398.8581491442515
Mali,2004,0,70,-3.011,15.106,1144.5656261250926,1678.852576847236
Mali,2004,0,67,-9.0167999,15.0455,498.19426773653703,1663.3585742013838
Mali,2004,0,61,-9.014,14.494,498.4914145164917,1602.3614233382464
Mali,2004,1,59,-10.952,13.72,288.912791799413,1517.6131224725775
Mali,2004,0,67,-7.67,14.998,642.99745966893,1658.5343445652265
Mali,2004,0,38,-11.5923,14.9731,221.1905909971596,1656.9811225379235
Mali,2004,0,69,-3.2368,15.3244,1119.548333307501,1702.4616672708585
Mali,2004,2,70,-4.7740002,14.6113,955.4998096429191,1619.5779240376223
Mali,2004,0,66,-8.092,12.108,598.8083275264113,1338.660345527229
Mali,2004,4,70,-5.249,14.826,903.8371986038694,1642.4670423656537
Mali,2004,0,66,0.27950001,16.3442,1494.7991884670016,1829.823001053518
Mali,2004,0,70,-8.9299002,13.1091,507.5983852611569,1449.2017852449155
Mali,2004,23,70,-8.011,12.595,607.4246079262689,1392.5511738603414
Mali,2004,0,70,-11.014,13.506,282.00975830588953,1493.9885127108384
Mali,2004,1,65,-3.4216001,14.4736,1101.9998490806386,1607.4465846733995
Mali,2004,85,98,-7.8621998,12.645,623.5650117048269,1398.1467462343726
